Start Time,Stop Time,Target Freq,Average Freq (Hz),Difference (mHz),STDev (mHz),Gate Time,Pk-Pk (mHz), Power (dBm),Minimum,Maximum,Channel,50 Ohm,Count,ppm
19h08m45s,19h09m16s,10.00E+6,10000000.0015889,1.5889000,0.3804,0.1,1.800000,12.8,10000000.000400,10000000.002200,Channel: Internal Clock,True,242,0.00015889000
20h16m43s,20h16m44s,10.00E+6,10000000.0003000,0.3000000,0.1058,0.5,0.200000,12.8,10000000.000180,10000000.000380,Channel: 1,True,3,0.00003000000
