0.19,10000000.000792,31/08/24 16:38:00, N:16,Notes:
0.41,10000000.000891
0.63,10000000.000950
0.86,10000000.001050
1.1,10000000.001050
1.34,10000000.001050
1.58,10000000.000900
1.8,10000000.000940
2.02,10000000.000750
2.25,10000000.000950
2.47,10000000.000950
2.71,10000000.000742
2.94,10000000.000940
3.16,10000000.000550
3.38,10000000.001000
3.61,10000000.000850
0.19,10000000.000792,31/08/24 16:38:00, N:37,Notes:
0.41,10000000.000891
0.63,10000000.000950
0.86,10000000.001050
1.1,10000000.001050
1.34,10000000.001050
1.58,10000000.000900
1.8,10000000.000940
2.02,10000000.000750
2.25,10000000.000950
2.47,10000000.000950
2.71,10000000.000742
2.94,10000000.000940
3.16,10000000.000550
3.38,10000000.001000
3.61,10000000.000850
3.83,10000000.000445
4.07,10000000.000693
4.3,10000000.000792
4.54,10000000.000841
4.76,10000000.000500
4.98,10000000.001100
5.21,10000000.000850
5.45,10000000.000396
5.67,10000000.000495
5.91,10000000.000841
6.15,10000000.000891
6.36,10000000.000400
6.58,10000000.001050
6.82,10000000.000900
7.05,10000000.000445
7.29,10000000.000841
7.51,10000000.000742
7.75,10000000.000841
7.99,10000000.000891
8.2,10000000.000650
8.42,10000000.000900
0.19,10000000.000792,31/08/24 16:38:00, N:98,Notes:line1,line2,line3
0.41,10000000.000891
0.63,10000000.000950
0.86,10000000.001050
1.1,10000000.001050
1.34,10000000.001050
1.58,10000000.000900
1.8,10000000.000940
2.02,10000000.000750
2.25,10000000.000950
2.47,10000000.000950
2.71,10000000.000742
2.94,10000000.000940
3.16,10000000.000550
3.38,10000000.001000
3.61,10000000.000850
3.83,10000000.000445
4.07,10000000.000693
4.3,10000000.000792
4.54,10000000.000841
4.76,10000000.000500
4.98,10000000.001100
5.21,10000000.000850
5.45,10000000.000396
5.67,10000000.000495
5.91,10000000.000841
6.15,10000000.000891
6.36,10000000.000400
6.58,10000000.001050
6.82,10000000.000900
7.05,10000000.000445
7.29,10000000.000841
7.51,10000000.000742
7.75,10000000.000841
7.99,10000000.000891
8.2,10000000.000650
8.42,10000000.000900
8.66,10000000.000950
8.89,10000000.000841
9.11,10000000.000450
9.33,10000000.000900
9.56,10000000.000750
9.8,10000000.000940
10.04,10000000.001089
10.25,10000000.000850
10.47,10000000.000950
10.71,9999999.999851
10.92,10000000.000950
11.16,10000000.000049
11.4,10000000.000396
11.62,10000000.000841
11.86,10000000.000792
12.1,10000000.000940
12.31,10000000.000750
12.53,10000000.000850
12.77,10000000.000950
13.0,10000000.000891
13.24,10000000.000990
13.46,10000000.000600
13.67,10000000.000800
13.91,10000000.000247
14.13,10000000.000594
14.37,10000000.000841
14.61,10000000.000841
14.84,10000000.000940
15.06,10000000.000550
15.28,10000000.000900
15.51,10000000.000800
15.75,10000000.000891
15.97,10000000.000450
16.18,10000000.001000
16.41,10000000.000700
16.64,10000000.000544
16.87,10000000.000841
17.11,10000000.000940
17.33,10000000.000400
17.54,10000000.000900
17.78,10000000.000049
18.02,10000000.000495
18.24,10000000.000792
18.48,10000000.000841
18.72,10000000.000940
18.93,10000000.000700
19.16,10000000.000850
19.4,10000000.000900
19.6,10000000.000550
19.83,10000000.001000
20.05,10000000.000800
20.28,10000000.000445
20.52,10000000.000841
20.76,10000000.000990
20.98,10000000.000792
21.2,10000000.000700
21.43,10000000.000850
21.65,10000000.000900
21.88,10000000.000350
22.1,10000000.001100
22.31,10000000.000750
0.0,10000000.000180,31/10/25 14:07:26, N:101,Notes:
0.51,10000000.000420
1.04,10000000.000360
1.57,10000000.000400
2.08,10000000.000120
2.61,10000000.000360
3.12,10000000.000400
3.65,10000000.000420
4.17,9999999.999920
4.69,10000000.000380
5.21,10000000.000180
5.73,10000000.000400
6.25,10000000.000380
6.78,10000000.000360
7.29,10000000.000060
7.82,10000000.000360
8.33,10000000.000420
8.86,10000000.000340
9.39,10000000.000000
9.9,10000000.000360
10.43,10000000.000380
10.94,10000000.000059
11.47,10000000.000000
12.0,10000000.000360
12.51,10000000.000340
13.04,9999999.999880
13.55,10000000.000440
14.08,10000000.000260
14.6,10000000.000360
15.12,10000000.000360
15.64,10000000.000380
16.16,10000000.000000
16.68,10000000.000420
17.21,10000000.000300
17.72,10000000.000100
18.25,10000000.000380
18.76,10000000.000380
19.29,10000000.000360
19.82,9999999.999960
20.33,10000000.000360
20.86,10000000.000300
21.37,10000000.000420
21.9,10000000.000420
22.43,10000000.000320
22.94,10000000.000240
23.47,10000000.000340
23.98,10000000.000400
24.51,10000000.000380
25.03,10000000.000340
25.55,10000000.000060
26.07,10000000.000360
26.59,10000000.000420
27.11,10000000.000320
27.64,10000000.000300
28.15,10000000.000400
28.68,10000000.000440
29.19,10000000.000420
29.72,10000000.000320
30.25,10000000.000340
30.76,10000000.000340
31.29,10000000.000420
31.82,10000000.000360
32.33,10000000.000200
32.86,10000000.000440
33.37,10000000.000340
33.9,10000000.000380
34.42,10000000.000020
34.94,10000000.000400
35.46,10000000.000400
35.98,10000000.000400
36.5,10000000.000240
37.03,10000000.000400
37.54,10000000.000360
38.07,10000000.000280
38.58,10000000.000160
39.11,10000000.000400
39.64,10000000.000400
